Feature,Importance
T_Area_V5,0.02212014853748451
T_Area_V6,0.02053526864609131
T_AreaFull_aVR,0.016961811287534673
T_AmpSpecial_V6,0.015214152364123101
T_Amp_V5,0.014377981193914873
T_AreaFull_V6,0.014264311118808886
Q_Dur_aVF,0.012773408313486969
T_AreaFull_V5,0.012624565418714031
T_AmpSpecial_aVR,0.01258058367949508
QRS_Area_II,0.012353138844819263
R_AxisFrontal_Global,0.011956963870842543
QRS_Balance_II,0.011825260799249034
ST_Amp18_V6,0.011408627277449061
T_Area_aVR,0.011008761955195063
QRS_Dur_Global,0.010939628304417918
T+_Amp_V6,0.010182324072060066
T_Area_I,0.009695974777324805
T_AreaFull_I,0.009341788562877663
Q_Area_III,0.008766560298313361
T_AmpSpecial_V5,0.008756294680929382
T-_Amp_aVR,0.008725017509969412
S_Dur_II,0.008466555177535863
S_Area_II,0.007768561020487119
R_Amp_II,0.007731538857367533
T_AmpSpecial_II,0.007332117877201797
T+_Amp_I,0.007181149525280795
Q_Area_aVF,0.006690448772599747
T+_Dur_V6,0.006586360071316303
R_Area_V2,0.006547396034352035
QRS_Area_V6,0.006497636121802138
T+_Amp_V5,0.006444515855803048
Q_PeakTime_aVF,0.006379483244564985
T_AreaFull_II,0.006328525383163317
T_Area_II,0.0063281366444333615
T+_Dur_I,0.006232298604143409
QRS_Area_V5,0.0061473721032092995
QRS_Balance_V6,0.006145342868526131
QRS_Balance_aVR,0.006120159323571775
R_Amp_V5,0.0058535106608561035
Rp_Area_V1,0.005812283723742048
QRS_Area_V1,0.005752945590627773
Max_R_Amp_II,0.00573479823446023
Max_R_Amp_V5,0.005655479611449129
S_Area_V6,0.005602176123979137
Rp_Dur_V1,0.00545364554348176
QRS_Area_aVF,0.0054107673419932735
T_AmpSpecial_V4,0.0053862257795088495
ST_Amp116_V6,0.005334471440261673
S_Dur_V6,0.005290875691153018
QRS_Balance_aVF,0.0052546318826342964
Rp_PeakTime_V1,0.0052159317352510415
QRS_Balance_V5,0.00521327087303729
Q_Off_Global,0.005195696078731235
T_Area_V4,0.005163002662124511
R_Amp_V2,0.005134371127800104
Q_Amp_III,0.005080617986015998
T_Amp_V4,0.005041923972815229
T+_Dur_V5,0.004958102446120693
R_Area_V6,0.004929561809706538
QRS_Off_Global,0.0049259009557552184
QRS_Area_aVR,0.00478907130586123
Max_R_Amp_V6,0.004787525382593359
R_Area_V5,0.004695676567083934
R_Amp_V6,0.00457788908788412
Max_R_Amp_V2,0.004491748923382492
T_AmpSpecial_I,0.004486544332201176
T+_Amp_II,0.0044074602927747465
ST_AmpMax_V6,0.0044025799035315475
Q_Dur_III,0.004300070584359001
ST_Amp18_aVR,0.004277247304809449
S_Dur_V1,0.004238621537803265
ST_AmpMax_V5,0.004122873866088803
Max_S_Amp_aVR,0.00409609326544075
R_Area_V3,0.004065696427907723
R_Area_II,0.004041044218469936
S_Area_aVF,0.004027916092512775
S_Dur_V4,0.004023508998603383
ST_Amp116_V5,0.003876924793628005
S_Dur_V2,0.003848496918724749
Q_Dur_II,0.0038270100160051643
Q_Dur_V2,0.0038003221321922416
T+_Dur_II,0.0037852078617520123
QRS_Balance_V1,0.0037798944422861316
Max_S_Amp_aVF,0.0037693240678990437
R_Dur_V2,0.0037199877587198596
R_Dur_I,0.0035386757838001496
T_Morph_V5,0.0033034966240736738
Q_Amp_V2,0.0032975879247025643
QRS_Area_III,0.0031756792953396918
T_Morph_V6,0.003168331342044775
S_Amp_V2,0.0031515155148826683
R_Amp_V3,0.003101202287635161
ST_Amp18_I,0.0030580641060512594
ST_Amp18_V5,0.0030572689094631525
Max_S_Amp_II,0.003048168577768562
Max_R_Amp_V3,0.003018404883217013
QRS_AmpPP_V5,0.002998313364128625
Q_Area_V2,0.002963972326938659
S_Area_V2,0.0029404587334828426
R_Dur_V6,0.002930981766423
T_AxisFront_Global,0.002925324828892716
S_Dur_V5,0.002914991780322003
S_Area_V1,0.002839101166296515
T-_Dur_aVR,0.0027981875328072655
QRS_AmpPP_V6,0.002762619828088758
T_AreaFull_V4,0.002721138330025651
T+_Amp_V4,0.002617837625799145
Q_PeakTime_V2,0.002552766961777281
S_Dur_aVF,0.002516625305228491
S_PeakTime_V2,0.0024736687918656916
R_PeakTime_V2,0.002432745863305916
ST_AmpMin_V6,0.0023588229836438014
S_Area_V5,0.002338048219808117
ST_Amp116_aVR,0.0023373794333735013
ST_AmpMin_aVR,0.0023204237073065925
R_Dur_aVL,0.0023118176581154288
S_Dur_V3,0.002291870113738273
ST_Amp116_V1,0.0022696592242844116
R_Area_V4,0.0022434395139631154
S_Amp_aVF,0.0022411740853071987
P_On_Global,0.0022209948758440978
R_Dur_V5,0.0021569932731268374
R_Dur_V3,0.002156777830461233
ST_Amp18_V1,0.002150912940770331
Q_PeakTime_III,0.0021408505289773586
T-_Dur_V6,0.002090520549269092
Max_S_Amp_III,0.0020366068621474457
Q_Dur_aVR,0.0020364976206841763
QRS_Area_V2,0.0020305580755417985
S_Amp_V1,0.001997639308226308
QRS_Area_V4,0.001940042810351494
Q_PeakTime_II,0.0018913777857687492
T_AmpSpecial_aVF,0.001844598941079568
Max_R_Amp_aVF,0.0018131840624544334
QRS_Area_I,0.0018033299564617156
S_Area_III,0.0017673426764434129
ST_Amp116_I,0.0017503238305596731
Max_S_Amp_V6,0.0017181098819565057
R_Area_aVF,0.0017150274017944998
T+_Dur_aVF,0.0016914342681727198
R_Area_I,0.0016907585126412002
ST_AmpMin_V5,0.0016809494305466824
T_Dur_II,0.0016791836789494048
QRS_Balance_III,0.0016769708241642061
R_Amp_V4,0.0016650884866816313
QRS_Area_aVL,0.0016278489923959216
P_Off_Global,0.0016156686865060478
Max_R_Amp_aVR,0.001606910440358946
T_Dur_aVR,0.0016013910189879934
R_PeakTime_aVL,0.0016005137687792631
QRS_Area_V3,0.0015931464256828205
Max_S_Amp_V1,0.0015897086301652947
R_Area_aVL,0.0015715992535071644
Max_R_Amp_V4,0.00155347138657228
QRS_AmpPP_II,0.001537244705575176
S_PeakTime_aVF,0.0015307168801202175
R_Amp_I,0.0015264520200363447
QRS_Balance_I,0.0015194411080093914
R_PeakTime_V3,0.0015000409819238944
R_Amp_aVF,0.0014879721347675519
Max_R_Amp_V1,0.001481846042518164
T_Area_aVL,0.0014732060429489347
ST_AmpMax_aVR,0.0014681019893384413
R_PeakTime_V6,0.0014132234565195163
QRS_AmpPP_aVR,0.0014130608181147414
T-_Amp_V6,0.0014031226652313055
T_Amp_V3,0.0013968900233637005
R_Dur_aVF,0.0013913904476341894
Max_R_Amp_I,0.0013842909480341818
QRS_AmpPP_III,0.001370330658259622
T-_Dur_V5,0.0013601296900155597
ST_Amp18_aVL,0.001351432339588279
T_AreaFull_V3,0.0013490309612348666
age,0.0013302307228227072
Max_R_Amp_aVL,0.0013218028373329443
T_AmpSpecial_V3,0.0013123972333868692
ST_AmpMax_V1,0.0013084793138670365
T-_Dur_I,0.0012893732102190714
QRS_AmpPP_aVF,0.001285782216856594
QRS_AmpPP_aVL,0.0012670779648184202
QRS_AmpPP_V1,0.0012549815106706625
QRS_AmpPP_V4,0.0012510739320463148
R_PeakTime_aVF,0.001230989995290342
QT_IntCorr_Global,0.0012237299979531268
S_Amp_III,0.0012165441213181775
QRS_Balance_V2,0.001199843483385675
ST_Amp116_V2,0.0011983284796373537
ST_AmpMin_V1,0.0011970402758468804
PR_Int_Global,0.0011833047468439318
ST_Amp18_II,0.0011799802701674387
QT_IntBazett_Global,0.0011793649420951948
ST_AmpMax_V3,0.0011779377807889897
R_Amp_aVL,0.001169910475038464
QRS_Balance_aVL,0.001167654173820321
T_AreaFull_aVF,0.0011617055439488043
T_Morph_I,0.0011601518313489102
Max_S_Amp_V2,0.0011579478394289373
R_PeakTime_III,0.0011571975659017313
S_Dur_I,0.0011500891016604773
T_Area_V1,0.0011476242206622665
